"СВЕДЕНИЯ О ЧИСЛЕ ЗАРЕГИСТРИРОВАННЫХ УМЕРШИХ С УСТАНОВЛЕННЫМ ДИАГНОЗОМ КОРОНАВИРУСНОЙ ИНФЕКЦИИ1)
за  май 2020 года ";;;;;;
;;;;;;
;;;;;;
;Основная причина смерти;;;Причина смерти отнесена к прочим важным состояниям;;
;Всего;в том числе:;;Всего;в том числе:;
;;COVID-19, вирус идентифицирован;возможно, COVID-19, вирус не идентифицирован;;COVID-19 не является основной причиной смерти, но оказал существенное влияние на развитие смертельных осложнений заболевания;COVID-19 не является основной причиной смерти и не оказал существенного влияния на развитие смертельных осложнений заболевания
A;1;2;3;4;5;6
   Российская Федерация;7444;5644;1800;5008;1530;3478
  Центральный федеральный округ;4994;3760;1234;3268;1127;2141
Белгородская область;26;24;2;14;4;10
Брянская область;20;20;0;129;10;119
Владимирская область;35;35;0;0;0;0
Воронежская область;9;9;0;18;6;12
Ивановская область;46;41;5;6;1;5
Калужская область;28;21;7;27;6;21
Костромская область;10;8;2;2;0;2
Курская область;14;13;1;68;7;61
Липецкая область;5;5;0;8;1;7
Московская область;1669;1019;650;403;92;311
Орловская область;40;31;9;5;0;5
Рязанская область;10;10;0;0;0;0
Смоленская область;87;42;45;7;1;6
Тамбовская область;28;28;0;18;4;14
Тверская область;105;25;80;14;0;14
Тульская область;91;91;0;8;1;7
Ярославская область;14;14;0;38;14;24
г.Москва;2757;2324;433;2503;980;1523
  Северо-Западный федеральный округ;1113;841;272;893;184;709
Республика Карелия;3;3;0;0;0;0
Республика Коми;16;14;2;12;3;9
Архангельская область;35;9;26;10;1;9
Hенецкий авт.округ;1;0;1;0;0;0
Архангельская область без автономии;34;9;25;10;1;9
Вологодская область;6;6;0;2;2;0
Калининградская область;37;28;9;17;3;14
Ленинградская область;28;27;1;7;0;7
Мурманская область;3;3;0;1;0;1
Новгородская область;10;9;1;5;1;4
Псковская область;9;9;0;0;0;0
г.Санкт-Петербург;966;733;233;839;174;665
  Южный федеральный округ;221;140;81;152;85;67
Республика Адыгея;8;8;0;2;1;1
Республика Калмыкия;12;12;0;1;1;0
Республика Крым;7;6;1;5;1;4
Краснодарский край;88;10;78;127;77;50
Астраханская область;12;12;0;3;1;2
Волгоградская область;33;33;0;4;2;2
Ростовская область;58;56;2;10;2;8
г.Севастополь;3;3;0;0;0;0
   Северо-Кавказский федеральный округ;385;206;179;65;7;58
Республика Дагестан;240;86;154;5;0;5
Республика Ингушетия;21;21;0;42;1;41
Кабардино-Балкарская Республика;24;19;5;1;0;1
Карачаево-Черкесская Республика;11;8;3;7;2;5
Республика Северная Осетия- Алания;44;43;1;4;3;1
Чеченская Республика;20;12;8;1;0;1
Ставропольский край;25;17;8;5;1;4
   Приволжский федеральный округ;437;413;24;397;79;318
Республика Башкортостан;1;0;1;8;1;7
Республика Марий Эл;11;11;0;0;0;0
Республика Мордовия;17;17;0;84;14;70
Республика Татарстан(Татарстан);9;9;0;5;2;3
Удмуртская Республика;7;7;0;2;1;1
Чувашская Республика(Чувашия);26;25;1;3;1;2
Пермский край;20;19;1;29;1;28
Кировская область;14;14;0;2;0;2
Hижегородская область;178;166;12;64;11;53
Оренбургская область;5;5;0;4;0;4
Пензенская область;56;56;0;69;16;53
Самарская область;25;19;6;70;21;49
Саратовская область;38;36;2;46;7;39
Ульяновская область;30;29;1;11;4;7
  Уральский федеральный округ;84;75;9;50;9;41
Курганская область;0;0;0;2;0;2
Свердловская область;29;22;7;10;3;7
Тюменская область;30;29;1;23;4;19
Ханты-Мансийский авт.округ-Югра;17;16;1;2;0;2
Ямало-Hенецкий авт.округ;7;7;0;1;0;1
Тюменская область без автономии;6;6;0;20;4;16
Челябинская область;25;24;1;15;2;13
  Сибирский федеральный округ;148;147;1;88;32;56
Республика Алтай;0;0;0;0;0;0
Республика Тыва;4;4;0;4;1;3
Республика Хакасия;9;8;1;3;2;1
Алтайский край;11;11;0;13;2;11
Красноярский край;32;32;0;7;1;6
Иркутская область;6;6;0;7;1;6
Кемеровская область;7;7;0;8;4;4
Новосибирская область;47;47;0;34;20;14
Омская область;24;24;0;6;0;6
Томская область;8;8;0;6;1;5
  Дальневосточный федеральный округ;62;62;0;95;7;88
Республика Бурятия;7;7;0;1;0;1
Республика Саха (Якутия);7;7;0;0;0;0
Забайкальский край;8;8;0;0;0;0
Камчатский край;8;8;0;0;0;0
Приморский край;18;18;0;49;6;43
Хабаровский край;8;8;0;39;1;38
Амурская область;1;1;0;5;0;5
Магаданская область;1;1;0;1;0;1
Сахалинская область;0;0;0;0;0;0
Еврейская автономная область;3;3;0;0;0;0
Чукотский авт.округ;1;1;0;0;0;0
"1) Информация о естественном движении населения формируется на основе данных из Единого государственного реестра записей актов гражданского состояния (ЕГР ЗАГС).
В связи с распространением новой коронавирусной инфекции и принятых карантинных мер жители ряда субъектов Российской Федерации не в полной мере обеспечили регистрацию фактов рождения и(или) смерти в системе ЕГР ЗАГС. В связи с этим данные о естественном движении населения по таким субъектам Российской Федерации будут дополнены после снятия карантинных мер и регистрации жителями регионов фактов рождения и смерти в органах записи актов гражданского состояния.";;;;;;
